experiment,seed,episode_id,timestep,timestamp,agent_id,agent_type,demand_kw,solar_kw,p2p_bought_kw,p2p_sold_kw,grid_bought_kw,grid_sold_kw,net_cost,voltage_violation,thermal_violation,battery_soc,reward
no_battery,1024,0,3,2019-03-01 03:00:00,consumer_02,consumer,4.861704591130245,0.0,0.0,0.0,4.861704518864472,0.0,39.622891828745445,False,False,0.0,-0.07365884155060333
no_battery,1024,0,3,2019-03-01 03:00:00,consumer_03,consumer,3.743781445605037,0.0,0.0,0.0,3.743781532545215,0.0,30.511819490243504,False,False,0.0,-0.056721384369577375
no_battery,1024,0,3,2019-03-01 03:00:00,consumer_04,consumer,4.852279739157506,0.0,0.0,0.0,4.852279901278876,0.0,39.546081195422836,False,False,0.0,-0.07351605080494637
no_battery,1024,0,3,2019-03-01 03:00:00,consumer_05,consumer,5.683527403771149,0.0,0.0,0.0,5.683527686010656,0.0,46.32075064098685,False,False,0.0,-0.08611014175129399
no_battery,1024,0,4,2019-03-01 04:00:00,college,college,19.01099939006567,0.0,1.264277470759553,0.0,17.746722529240447,0.0,152.03813320460682,False,False,0.5,-0.27598820900566723
no_battery,1024,0,4,2019-03-01 04:00:00,solar_01,solar,11.362900469288814,0.0,0.7556603691233312,0.0,10.607240267532736,0.0,90.8733996416089,False,False,0.0,-0.16228314584484993
no_battery,1024,0,4,2019-03-01 04:00:00,solar_02,solar,7.2586273945123905,0.0,0.16958370704862585,0.0,7.089043617971708,0.0,58.76861809123913,False,False,0.0,-0.10691438594710789
no_battery,1024,0,4,2019-03-01 04:00:00,solar_03,solar,11.62171980425091,0.0,0.7728724503098653,0.0,10.848847063535095,0.0,92.9432717643753,False,False,0.0,-0.1661310321470368
no_battery,1024,0,4,2019-03-01 04:00:00,solar_04,solar,14.834022459841355,0.0,0.9864984109820176,0.0,13.847524756346836,0.0,118.63327496052642,False,False,0.0,-0.21388867394255498
no_battery,1024,0,4,2019-03-01 04:00:00,solar_05,solar,11.517268280612596,0.0,0.7659261709807396,0.0,10.75134181273716,0.0,92.10793350490009,False,False,0.0,-0.16457814073361396
no_battery,1024,0,4,2019-03-01 04:00:00,solar_06,solar,10.048860546285402,0.0,0.2522565189469752,0.0,9.79660379418057,0.0,81.31928284100618,False,False,0.0,-0.14866201231274692
no_battery,1024,0,4,2019-03-01 04:00:00,solar_07,solar,8.457117442853917,50.6264187029061,0.0,10.527565869183857,0.0,0.0,-61.638898164071485,False,False,0.0,0.23686006148078892
